ContigSetID,cbID,contigSet,methodHTML,methodFails,transcriptBaseCoverage,transcriptBaseCoveragePercent,transcriptsPartial,contigBaseCoverage,contigBaseCoveragePercent,contigAssembledBases,contigAdditionalBases,contigsAssembled,contigsTP,contigsFP,contigsFN,contigSensitivity,contigSpecificity,contigFDR,contigF1
evi ok,502,15 assemblies merged,evigene ok set,,17013702,48.13550038,12235,22559289,41.21490347,40248164,17688875,33069,15204,17865,10527,0.590882593,0.459765944,0.540234056,0.517142857
evi full,502,15 assemblies merged,evigene ok + alt/cull set,,25456332,72.02155526,16947,36486600,66.65953422,249631834,213145234,128379,22045,106334,3686,0.856748669,0.171718116,0.828281884,0.286094348
evi4F --> TF1,503,15 assemblies merged,evigene full set &#8594; Transfuse (filter),,24175427,68.39759364,16320,34109718,62.31706748,134062235,99952517,66436,21053,45383,4678,0.81819595,0.316891444,0.683108556,0.456844641
evi4F --> TF2,503,15 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch),,23906655,67.63717861,16100,33886958,61.91009402,132412723,98525765,65316,20891,44425,4840,0.811900043,0.319845061,0.680154939,0.45890584
evi4F --> TF3,503,15 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate),,23713307,67.09015464,16001,33440191,61.09386888,119057576,85617385,60420,20702,39718,5029,0.804554817,0.342634889,0.657365111,0.48059802
evi4 --> TF --> Det,504,15 assemblies merged,evigene full set &#8594; Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,23476699,66.42073863,15813,33097037,60.46694048,102219972,69122935,52207,20457,31750,5274,0.795033228,0.391844006,0.608155994,0.524955734
transfuse 1 (filter),505,15 assemblies merged,Transfuse (filter),,25963433,73.45625538,17130,37705928,68.88719688,204466822,166760894,103111,22269,80842,3462,0.865454121,0.215971138,0.784028862,0.345679204
transfuse 2 (vsearch),505,15 assemblies merged,Transfuse (filter &#8594; vsearch),,25460276,72.0327137,16809,37024933,67.64304671,164189935,127165002,79039,21876,57163,3855,0.850180716,0.276774757,0.723225243,0.417600458
transfuse 3 (transrate),505,15 assemblies merged,Transfuse (filter &#8594; vsearch &#8594; Transrate),,24858957,70.33145016,16481,35671083,65.16961783,126480651,90809568,64288,21330,42958,4401,0.828961175,0.331788203,0.668211797,0.473899954
TF3 --> Det,506,15 assemblies merged,Transfuse (filter &#8594; vsearch &#8594; Transrate) &#8594; Detonate,,24705005,69.89588613,16366,35340588,64.5658169,112474603,77134015,57975,21160,36815,4571,0.822354359,0.364984907,0.635015093,0.50557905
ORP 1 (orthomerged),508,15 assemblies merged,ORP (orthomerged),,22804424,64.51872498,15849,32481525,59.34242509,256410134,223928609,197287,21014,176273,4717,0.816680269,0.106514874,0.893485126,0.188451156
ORP 2 (cd-hit),508,15 assemblies merged,ORP (orthomerged &#8594; cd-hit c=1; original method used c=0.98),,22722098,64.28580664,15773,32374533,59.14695505,230099899,197725366,155128,20890,134238,4841,0.811861179,0.134662988,0.865337012,0.231008686
ORP 3 (High exp),508,15 assemblies merged,ORP (orthomerged &#8594; cd-hit &#8594; high expression TPM&#8805;0.05; original method used TPM&#8805;1),,22401670,63.37924544,15548,31718407,57.94823954,171863517,140145110,105760,20505,85255,5226,0.796898683,0.193882375,0.806117625,0.311884464
ORP 4 (with blast),508,15 assemblies merged,ORP (orthomerged &#8594; cd-hit &#8594; high expression &#8594;  blast recovery of low exp.),,22689797,64.19442001,15741,32317634,59.0430029,205953877,173636243,118126,20838,97288,4893,0.80984027,0.176404856,0.823595144,0.289704359
